year,entity,code,yield_tonnes_per_ha,climate_region,provenance
2015,Cameroon,CMR,0.40390003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Cameroon,CMR,0.40460002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Cameroon,CMR,0.41750002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Cameroon,CMR,0.48180002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Cameroon,CMR,0.44790003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Cameroon,CMR,0.53580004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Cameroon,CMR,0.49970004,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Cameroon,CMR,0.48040003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Cameroon,CMR,0.4934,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Cameroon,CMR,0.49830002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Cote d'Ivoire,CIV,0.58640003,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Cote d'Ivoire,CIV,0.6176,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
